Age,Gender,Education,Live with,Conflict with law,Most used drugs,Motive about drug,motivation by friends,Spend most time,Mental/emotional problem,Suicidal thoughts,Family relationship,Financials of family,Addicted person in family,no. of friends,Withdrawal symptoms,Satisfied with workplace,Case in court,Living with drug user,Smoking,Easy to control use of drug,Frequency of drug usage,Taken drug while experiencing stress
between 22 to 35 years,Female,Undergraduate,With Family/ Relatives,No,I don't take drugs,"Disease, Should avoid","No, they don't",Friends,Tension/Anxiety,No,Satisfactory,Poor / weak,No,Few (1-4),I have no idea,Yes,No,No,"No, I don't","Yes, It's possible",Never/ Not applicable,No
between 22 to 35 years,Female,Undergraduate,With Family/ Relatives,No,I don't take drugs,Should avoid,"No, they don't",Family/ Relatives,Tension/Anxiety,No,Satisfactory,Rich / Strong,No,Few (1-4),I have no idea,No,No,No,"No, I don't","Yes, It's possible",Never/ Not applicable,No
between 22 to 35 years,Female,Undergraduate,With Family/ Relatives,No,I don't take drugs,Should avoid,"No, they don't",Friends,Tension/Anxiety,No,Satisfactory,Rich / Strong,No,Few (1-4),I have no idea,Yes,No,No,"No, I don't","Yes, It's possible",Never/ Not applicable,No
between 22 to 35 years,Male,Undergraduate,Hostel/Hall,No,I don't take drugs,Social trend,"No, they don't",Family/ Relatives,Tension/Anxiety,No,Satisfactory,Rich / Strong,No,Few (1-4),I have no idea,Yes,No,No,"Yes, occasionally","Yes, It's possible",Never/ Not applicable,No
between 22 to 35 years,Male,Undergraduate,Hostel/Hall,No,Phensedyl,Social trend,"Yes, often they do",Friends,Depression/ inferiority/Guilt,Yes,Average,Medium,No,Few (1-4),Yes,No,No,No,"Yes, every day.","Yes, It's possible",Never/ Not applicable,Yes
between 22 to 35 years,Male,Undergraduate,Hostel/Hall,No,Cigarette,Social trend,"Yes, often they do",Friends,Anger,No,Satisfactory,Medium,No,Few (1-4),Yes,Yes,No,No,"Yes, every day.","Yes, It's possible",Occasionally,Yes
between 22 to 35 years,Male,Postgraduate (MSc/PhD),Hostel/Hall,No,Yaba,Social trend,"Yes, often they do",Alone,Tension/Anxiety,No,Average,Medium,No,Few (1-4),Yes,No,No,No,"Yes, every day.","Yes, It's possible",Occasionally,Yes
between 22 to 35 years,Female,Postgraduate (MSc/PhD),With Family/ Relatives,No,I don't take drugs,"Disease, Should avoid","No, they don't",Family/ Relatives,Tension/Anxiety,No,Satisfactory,Rich / Strong,No,Few (1-4),I have no idea,Yes,No,No,"No, I don't","Yes, It's possible",Never/ Not applicable,No
between 22 to 35 years,Female,Undergraduate,Hostel/Hall,No,I don't take drugs,Should avoid,"No, they don't",Alone,"Depression/ inferiority/Guilt, Tension/Anxiety, Anger",Yes,Satisfactory,Solvent,No,Few (1-4),I have no idea,No,No,No,"No, I don't","Yes, It's possible",Never/ Not applicable,No
15 to 22 years,Female,Undergraduate,With Family/ Relatives,No,I don't take drugs,Social trend,"No, they don't",Friends,"Depression/ inferiority/Guilt, Tension/Anxiety",No,Communcaiton gap,Solvent,No,Many (more than 5),I have no idea,No,No,No,"No, I don't","Yes, It's possible",Never/ Not applicable,No
15 to 22 years,Female,Undergraduate,Hostel/Hall,No,I don't take drugs,Should avoid,"No, they don't",Family/ Relatives,"Depression/ inferiority/Guilt, Tension/Anxiety",Yes,Satisfactory,Rich / Strong,No,Many (more than 5),I have no idea,Yes,No,No,"No, I don't","Yes, It's possible",Never/ Not applicable,No
between 22 to 35 years,Male,Undergraduate,With Family/ Relatives,No,I don't take drugs,Should avoid,"No, they don't",Alone,None,No,Satisfactory,Medium,No,Many (more than 5),I have no idea,Yes,No,No,"No, I don't","Yes, It's possible",Never/ Not applicable,No
15 to 22 years,Female,Undergraduate,With Family/ Relatives,No,I don't take drugs,Should avoid,"No, they don't",Family/ Relatives,Tension/Anxiety,No,Satisfactory,Medium,No,Many (more than 5),I have no idea,Yes,No,No,"No, I don't","Yes, It's possible",Never/ Not applicable,No
15 to 22 years,Female,Undergraduate,With Family/ Relatives,No,I don't take drugs,Should avoid,"No, they don't",Family/ Relatives,"Depression/ inferiority/Guilt, Tension/Anxiety, Anger",Yes,Satisfactory,Medium,Not sure,Many (more than 5),I have no idea,No,No,No,"No, I don't","Yes, It's possible",Never/ Not applicable,No
15 to 22 years,Male,Undergraduate,Hostel/Hall,No,I don't take drugs,Should avoid,"No, they don't",Friends,Depression/ inferiority/Guilt,No,Satisfactory,Medium,No,Many (more than 5),I have no idea,No,No,Yes,"No, I don't","No, It's not possible",Never/ Not applicable,No
between 22 to 35 years,Male,Undergraduate,With Family/ Relatives,No,"Heroin,Yaba,others","Disease, Social trend, Should avoid","Yes, often they do",Friends,Depression/ inferiority/Guilt,No,Average,Solvent,No,Many (more than 5),Yes,No,No,Yes,"Yes, every day.","Yes, It's possible",Once/twice a week,Yes
15 to 22 years,Male,S.S.C /O levels,With Family/ Relatives,No,Cocaine,Social trend,"Yes, often they do",Friends,Tension/Anxiety,Yes,Communcaiton gap,Poor / weak,Yes,Many (more than 5),I have no idea,No,No,Yes,"Yes, occasionally","Yes, It's possible",Occasionally,Yes
between 35 to 48,Male,S.S.C /O levels,With Family/ Relatives,Yes,"Phensedyl,Cigarette","Disease, Should avoid","Yes, often they do",Friends,"Depression/ inferiority/Guilt, Tension/Anxiety",Yes,Communcaiton gap,Poor / weak,No,Few (1-4),Yes,No,Yes,Yes,"Yes, every day.","No, It's not possible",Regularly,Yes
between 22 to 35 years,Male,Undergraduate,Hostel/Hall,No,"Cigarette,Cocaine,Weed,Alcohol","Social trend, Should avoid","No, they don't",Friends,Depression/ inferiority/Guilt,No,Satisfactory,Solvent,Not sure,Few (1-4),I have no idea,No,No,Yes,"Yes, every day.","Yes, It's possible",Occasionally,No
between 22 to 35 years,Male,Undergraduate,With Family/ Relatives,No,Alcohol,"Social trend, Should avoid","No, they don't",Friends,Tension/Anxiety,No,Satisfactory,Rich / Strong,No,Few (1-4),No,No,No,Yes,"Yes, occasionally","Yes, It's possible",Occasionally,Yes
between 22 to 35 years,Male,Undergraduate,With Family/ Relatives,No,Phensedyl,Social trend,"Yes, often they do",Friends,Anger,No,Satisfactory,Rich / Strong,Not sure,Many (more than 5),I have no idea,No,No,No,"Yes, occasionally","Yes, It's possible",Occasionally,Yes
between 22 to 35 years,Male,Undergraduate,With Family/ Relatives,No,"Yaba,Cigarette,Weed,Others",Social trend,"Yes, often they do",Friends,"Depression/ inferiority/Guilt, Tension/Anxiety",Yes,Average,Rich / Strong,No,Many (more than 5),Yes,No,No,Yes,"Yes, every day.","Yes, It's possible",Regularly,Yes
15 to 22 years,Male,Undergraduate,Hostel/Hall,No,"Alcohol,Heroin,others",Social trend,"Yes, often they do",Friends,Depression/ inferiority/Guilt,No,Satisfactory,Solvent,No,Many (more than 5),Yes,No,No,Yes,"Yes, every day.","Yes, It's possible",Once/twice a week,Yes
between 35 to 48,Male,Postgraduate (MSc/PhD),With Family/ Relatives,No,"Cocaine,Cigarette",Social trend,"Yes, often they do",Friends,Tension/Anxiety,No,Satisfactory,Rich / Strong,Yes,Few (1-4),I have no idea,No,No,No,"Yes, every day.","Yes, It's possible",Occasionally,Yes
15 to 22 years,Male,Undergraduate,With Family/ Relatives,No,Weed,"Social trend, Should avoid","No, they don't",Friends,Depression/ inferiority/Guilt,Yes,Average,Solvent,Not sure,Many (more than 5),Yes,No,No,Yes,"Yes, every day.","Yes, It's possible",Occasionally,Yes
between 22 to 35 years,Male,Undergraduate,With Family/ Relatives,No,I don't take drugs,"Social trend, Should avoid","Yes, often they do",Family/ Relatives,Tension/Anxiety,No,Satisfactory,Rich / Strong,No,Few (1-4),I have no idea,Yes,No,Yes,"No, I don't","Yes, It's possible",Never/ Not applicable,No
between 35 to 48,Male,Postgraduate (MSc/PhD),With Family/ Relatives,No,"Weed,Yaba,others",Social trend,"No, they don't",Friends,"Depression/ inferiority/Guilt, Tension/Anxiety",Yes,Average,Solvent,Not sure,Many (more than 5),Yes,No,No,Yes,"Yes, every day.","Yes, It's possible",Once/twice a week,Yes
between 22 to 35 years,Male,Undergraduate,With Family/ Relatives,No,"Phensedyl,Heroin,Cigarette",Disease,"No, they don't",Friends,Depression/ inferiority/Guilt,No,Average,Solvent,No,Many (more than 5),Yes,No,No,Yes,"Yes, every day.","Yes, It's possible",Once/twice a week,Yes
15 to 22 years,Male,H.S.C / A levels,With Family/ Relatives,No,"Alcohol,Heroin,others",Social trend,"Yes, often they do",Friends,"Depression/ inferiority/Guilt, Tension/Anxiety, Anger",Yes,Average,Medium,No,Many (more than 5),I have no idea,Yes,No,No,"Yes, every day.","No, It's not possible",Once/twice a week,Yes
between 22 to 35 years,Female,Undergraduate,With Family/ Relatives,No,"Cocaine,Weed",Should avoid,"Yes, often they do",Friends,"Tension/Anxiety, Anger",No,Average,Medium,No,Many (more than 5),No,Yes,No,No,"Yes, occasionally","Yes, It's possible",Occasionally,Yes
between 22 to 35 years,Female,Undergraduate,Hostel/Hall,No,"Heroin,Yaba,Cigarette,others",Social trend,"Yes, often they do",Friends,"Depression/ inferiority/Guilt, Tension/Anxiety, Anger",Yes,Average,Medium,No,Many (more than 5),I have no idea,No,No,Yes,"Yes, every day.","No, It's not possible",Once/twice a week,Yes
between 35 to 48,Male,H.S.C / A levels,With Family/ Relatives,No,Cocaine,Social trend,"No, they don't",Alone,"Tension/Anxiety, Anger",No,Average,Poor / weak,No,Few (1-4),I have no idea,No,No,Yes,"Yes, every day.","No, It's not possible",Regularly,Yes
15 to 22 years,Male,H.S.C / A levels,Hostel/Hall,No,"Yaba,Phensedyl","Disease, Social trend, Should avoid","Yes, often they do",Friends,"Depression/ inferiority/Guilt, Tension/Anxiety, Others",No,Communcaiton gap,Medium,No,Many (more than 5),I have no idea,No,No,Yes,"Yes, every day.","Yes, It's possible",Regularly,Yes
15 to 22 years,Male,H.S.C / A levels,With Family/ Relatives,No,"Weed,Yaba,Alcohol","Social trend, Should avoid","Yes, often they do",Friends,"Depression/ inferiority/Guilt, Tension/Anxiety, Anger",Yes,Average,Medium,No,Many (more than 5),No,Yes,No,Yes,"Yes, every day.","Yes, It's possible",Occasionally,Yes
between 22 to 35 years,Male,Undergraduate,Hostel/Hall,No,"Alcohol,Cigarette,others","Social trend, Should avoid","Yes, often they do",Friends,"Depression/ inferiority/Guilt, Tension/Anxiety, Anger",No,Average,Medium,No,Many (more than 5),No,No,No,Yes,"Yes, every day.","No, It's not possible",Regularly,Yes
15 to 22 years,Female,H.S.C / A levels,With Family/ Relatives,No,I don't take drugs,Social trend,"No, they don't",Family/ Relatives,"Tension/Anxiety, Anger",No,Average,Medium,No,Many (more than 5),I have no idea,Yes,No,No,"No, I don't","No, It's not possible",Never/ Not applicable,No
15 to 22 years,Male,H.S.C / A levels,With Family/ Relatives,No,I don't take drugs,"Disease, Should avoid","Yes, often they do",Friends,"Tension/Anxiety, Anger",No,Satisfactory,Medium,No,Many (more than 5),No,Yes,No,No,"Yes, occasionally","No, It's not possible",Never/ Not applicable,No
between 22 to 35 years,Male,H.S.C / A levels,With Family/ Relatives,No,Others,Should avoid,"Yes, often they do",Friends,"Depression/ inferiority/Guilt, Tension/Anxiety, Anger",No,Satisfactory,Medium,No,Many (more than 5),Yes,No,No,No,"Yes, every day.","Yes, It's possible",Occasionally,Yes
15 to 22 years,Male,H.S.C / A levels,With Family/ Relatives,Yes,Heroin,Disease,"Yes, often they do",Friends,Depression/ inferiority/Guilt,Yes,Average,Medium,No,Many (more than 5),I have no idea,No,Yes,Yes,"Yes, every day.","No, It's not possible",Once/twice a week,Yes
between 22 to 35 years,Male,Undergraduate,With Family/ Relatives,No,Yaba,Social trend,"Yes, often they do",Friends,"Depression/ inferiority/Guilt, Tension/Anxiety, Anger",No,Average,Solvent,No,Many (more than 5),Yes,Yes,No,Yes,"Yes, every day.","Yes, It's possible",Once/twice a week,Yes
between 22 to 35 years,Male,Undergraduate,With Family/ Relatives,No,I don't take drugs,"Social trend, Should avoid","No, they don't",Alone,"Depression/ inferiority/Guilt, Tension/Anxiety, Anger",No,Satisfactory,Medium,No,Many (more than 5),Yes,Yes,No,No,"Yes, every day.","Yes, It's possible",Never/ Not applicable,No
between 22 to 35 years,Male,Undergraduate,With Family/ Relatives,No,I don't take drugs,"Social trend, Should avoid","No, they don't",Alone,"Depression/ inferiority/Guilt, Tension/Anxiety, Anger",No,Satisfactory,Medium,No,Many (more than 5),Yes,Yes,No,No,"Yes, every day.","Yes, It's possible",Never/ Not applicable,No
between 22 to 35 years,Male,Undergraduate,With Family/ Relatives,No,I don't take drugs,"Social trend, Should avoid","No, they don't",Alone,"Depression/ inferiority/Guilt, Tension/Anxiety, Anger",No,Satisfactory,Medium,No,Many (more than 5),Yes,Yes,No,No,"Yes, every day.","Yes, It's possible",Never/ Not applicable,No
between 22 to 35 years,Male,Undergraduate,With Family/ Relatives,No,"yaba,Cigarette,others",Should avoid,"Yes, often they do",Friends,Tension/Anxiety,No,Average,Medium,No,Many (more than 5),I have no idea,Yes,No,No,"Yes, every day.","Yes, It's possible",Occasionally,Yes
between 22 to 35 years,Male,Undergraduate,With Family/ Relatives,No,Others,Should avoid,"Yes, often they do",Friends,Depression/ inferiority/Guilt,No,Average,Medium,No,Many (more than 5),No,No,No,No,"Yes, every day.","Yes, It's possible",Occasionally,Yes
between 22 to 35 years,Male,Undergraduate,Hostel/Hall,No,Weed,Disease,"Yes, often they do",Alone,Depression/ inferiority/Guilt,Yes,Communcaiton gap,Rich / Strong,No,Few (1-4),I have no idea,No,No,No,"Yes, occasionally","No, It's not possible",Occasionally,No
15 to 22 years,Male,Undergraduate,With Family/ Relatives,No,"Phensedyl,Weed,Alcohol","Social trend, Should avoid","Yes, often they do",Alone,"Depression/ inferiority/Guilt, Tension/Anxiety",No,Average,Medium,Not sure,Many (more than 5),Yes,No,No,Yes,"Yes, every day.","No, It's not possible",Once/twice a week,Yes
15 to 22 years,Male,Undergraduate,With Family/ Relatives,No,I don't take drugs,Should avoid,"No, they don't",Family/ Relatives,Anger,No,Satisfactory,Solvent,No,Many (more than 5),No,Yes,No,No,"Yes, every day.","Yes, It's possible",Never/ Not applicable,No
15 to 22 years,Male,H.S.C / A levels,With Family/ Relatives,No,I don't take drugs,Social trend,"No, they don't",Friends,Depression/ inferiority/Guilt,Yes,Average,Medium,No,Many (more than 5),No,Yes,No,No,"Yes, occasionally","Yes, It's possible",Never/ Not applicable,No
15 to 22 years,Female,Undergraduate,Hostel/Hall,No,I don't take drugs,Should avoid,"No, they don't",Friends,Anger,No,Satisfactory,Solvent,No,Many (more than 5),I have no idea,No,No,No,"No, I don't","No, It's not possible",Never/ Not applicable,No
between 22 to 35 years,Male,Undergraduate,Hostel/Hall,No,Alcohol,Social trend,"No, they don't",Friends,None,No,Satisfactory,Medium,No,Many (more than 5),I have no idea,Yes,No,Yes,"Yes, every day.","Yes, It's possible",Occasionally,Yes
between 22 to 35 years,Male,Undergraduate,Hostel/Hall,No,I don't take drugs,Should avoid,"No, they don't",Friends,Tension/Anxiety,No,Satisfactory,Solvent,No,Many (more than 5),No,Yes,No,No,"Yes, occasionally","No, It's not possible",Never/ Not applicable,No
15 to 22 years,Male,H.S.C / A levels,With Family/ Relatives,No,I don't take drugs,"Disease, Social trend, Should avoid","No, they don't",Friends,"Depression/ inferiority/Guilt, Tension/Anxiety, Anger, Others",Yes,Average,Medium,No,Many (more than 5),I have no idea,Yes,No,No,"No, I don't","Yes, It's possible",Never/ Not applicable,No
between 22 to 35 years,Male,Undergraduate,With Family/ Relatives,No,Cocaine,"Social trend, Should avoid","No, they don't",Friends,"Depression/ inferiority/Guilt, Tension/Anxiety, Anger, Others",No,Average,Medium,No,Many (more than 5),No,Yes,No,Yes,"Yes, every day.","Yes, It's possible",Regularly,Yes
between 22 to 35 years,Male,Undergraduate,With Family/ Relatives,No,I don't take drugs,Should avoid,"No, they don't",Friends,Depression/ inferiority/Guilt,No,Satisfactory,Medium,No,Many (more than 5),Yes,Yes,No,Yes,"Yes, every day.","Yes, It's possible",Never/ Not applicable,No
between 22 to 35 years,Male,Undergraduate,With Family/ Relatives,No,Phensedyl,"Disease, Should avoid","No, they don't",Friends,"Depression/ inferiority/Guilt, Tension/Anxiety, Anger",No,Satisfactory,Medium,No,Many (more than 5),I have no idea,Yes,No,No,"Yes, every day.","No, It's not possible",Once/twice a week,Yes
between 22 to 35 years,Male,Undergraduate,Hostel/Hall,No,"Cocaine,Cigarette",Should avoid,"No, they don't",Friends,Depression/ inferiority/Guilt,Yes,Satisfactory,Solvent,No,Many (more than 5),Yes,Yes,No,Yes,"Yes, every day.","Yes, It's possible",Regularly,Yes
15 to 22 years,Female,Undergraduate,With Family/ Relatives,No,I don't take drugs,Should avoid,"No, they don't",Friends,Tension/Anxiety,No,Satisfactory,Medium,No,Many (more than 5),I have no idea,Yes,No,No,"No, I don't","Yes, It's possible",Never/ Not applicable,No
15 to 22 years,Male,Undergraduate,Hostel/Hall,No,I don't take drugs,"Disease, Social trend, Should avoid","No, they don't",Alone,"Depression/ inferiority/Guilt, Tension/Anxiety, Anger",No,Average,Poor / weak,Yes,None,I have no idea,Yes,No,No,"Yes, occasionally","Yes, It's possible",Never/ Not applicable,No
between 22 to 35 years,Male,Postgraduate (MSc/PhD),Hostel/Hall,No,yaba,Social trend,"No, they don't",Family/ Relatives,None,No,Satisfactory,Medium,No,Many (more than 5),No,No,No,Yes,"Yes, every day.","Yes, It's possible",Once/twice a week,Yes
15 to 22 years,Male,Undergraduate,Hostel/Hall,No,I don't take drugs,Should avoid,"No, they don't",Family/ Relatives,None,No,Satisfactory,Medium,No,Many (more than 5),I have no idea,Yes,No,No,"No, I don't","Yes, It's possible",Never/ Not applicable,No
15 to 22 years,Male,Undergraduate,Hostel/Hall,Yes,I don't take drugs,Should avoid,"No, they don't",Alone,None,No,Average,Medium,Yes,Many (more than 5),Yes,No,Yes,No,"Yes, every day.","No, It's not possible",Never/ Not applicable,No
15 to 22 years,Male,Undergraduate,Hostel/Hall,No,I don't take drugs,Should avoid,"No, they don't",Friends,"Depression/ inferiority/Guilt, Tension/Anxiety, Anger",No,Satisfactory,Medium,No,Many (more than 5),I have no idea,Yes,No,No,"Yes, occasionally","Yes, It's possible",Never/ Not applicable,No
